冊/課,課文,題目,long
B1 L1,我_人1 起來_事 了_ul,誰起來了?,
,,,
B1 L1,太陽_人2 也_d 起來_事 了_ul,誰也起來了?,
B1 L1,我_人2 天天_t 早起_v,我什麼時候起床?,
B1 L1,太陽_人3 也_d 天天_時 早起_v ,誰也天天早起?,
B1 L2,小方_人1 喜歡_v1 上學_v2,小方喜歡做什麼事?,
B1 L2,小方_人1 喜歡_v1 上學_v2,誰喜歡上學?,
B1 L2,小方_人1 喜歡_v1 老師_人2,誰喜歡老師?,
B1 L2,小方_人1 喜歡_v1 老師_人2,小方喜歡誰?,
B1 L2,老師_人3 也_d 喜歡_v2 小方_人4,誰喜歡小方?,
B1 L2,老師_人3 也_d 喜歡_v2 小方_人4,老師喜歡誰?,
B1 L2,小方_人1 喜歡_v1 同學_人2,小方喜歡誰?,
B1 L2,同學_人3 也_d 喜歡_v2 小方_人4,同學喜歡誰?,
B1 L3,背_v1 書包_物1 ，_x 上學_v2 去_v3,背書包去哪裡?,
B1 L3,我_人1 的_uj 書包_物1 裡_f ，_x 有_v1 書_物2 也_d 有_v2 筆_物3,我的書包裡有什麼?,
B1 L3,我_人1 有_v1 四本_m 書_物1,我有幾本書?,
B1 L3,我_人2 有_v2 三枝_m 筆_物2,我有幾隻筆?,
B1 L3,還_d 有_v3 一個_m 小_a 皮球_物3 ，_x 也_d 在_p 我_人3 的_uj 書包_物4 裡_f,什麼也在我的書包裡?,
B1 L4,媽媽_人1 教_v1 小方_人2 寫_v2 字_n,誰教小方寫字?,
B1 L4,媽媽_人1 教_v1 小方_人2 寫_v2 字_n,媽媽教誰寫字?,
B1 L4,媽媽_人1 說_v1 ：_x 寫_v2 字_n 要_v3 用_v4 心_n ,誰說寫字要用心?,
B1 L4,媽媽_人1 說_v1 ：_x 寫_v2 字_n 要_v3 用_v4 心_n ,媽媽說寫字要如何?,
B1 L4,身體_n 要_v5 坐_v6 正_d,身體要如何?,
B1 L4,兩手_m 要_v7 放_v8 好_a,兩手要如何?,
B1 L5,大樹_物1 高_a,什麼很高?,
B1 L5,花兒_物2 美_a,什麼很美?,
B1 L5,樹_物1 很_d 高_a ，_x 我們_人1 不要_df 爬上去_v1,什麼很高不要爬上去?,
B1 L5,花_物1 很_d 美_a ，_x 我們_人1 不要_df 摘下_v1 來_zg,什麼很美不要摘下來?,
B1 L5,草地_物1 很_d 漂亮_a ，_x 我們_人1 不要_df 去_v1 踩_v2 它_物2,什麼很漂亮不要去採它?,
B1 L6,小_a 鳥_n 小_a 鳥_n 愛_v1 唱歌_事,誰愛唱歌?,
B1 L6,小_a 鳥_n 小_a 鳥_n 愛_v1 唱歌_事,小鳥愛做什麼事?,
B1 L6,你_人1 的_uj 歌兒_n 真好_d 聽_v,小鳥的歌兒如何?,
B1 L6,請_v3 你_人2 和_c 我_人3 一起_m 唱歌_事 ，_x 你_人4 說_v4 好不好_l ?_x,請你和我一起做什麼事?,
B1 L7,爸爸_人1 說_zg ，_x 他_人2 小_a 時候_n 上學_v1 ，_x 看見_v2 老師_人3 ，_x 會_v3 向_p 老師_人4 行禮_v4,爸爸小時候上學看見誰會行禮?,
B1 L7,爸爸_人1 說_zg ，_x 他_人2 小_a 時候_n 上學_v1 ，_x 看見_v2 老師_人3 ，_x 會_v3 向_p 老師_人4 行禮_v4,爸爸小時候看見老師會做什麼事?,
B1 L7,現在_時 ，_x 我_人1 在_p 泰國_地方 上學_v1,現在我在哪裡上學?,
B1 L7,我_人2 看見_v2 老師_人3 ，_x 我_人4 會_v3 雙手_n 合掌_v4 ，_x 向_p 老師_人5 行禮_v5,我看見老師會做什麼事?,
B1 L8,明天_時 是_v1 小方_人1 的_uj 生日_t,明天是誰的生日?,
B1 L8,明天_時 是_v1 小方_人1 的_uj 生日_t,小方的生日是什麼時候?,
B1 L8,小方_人2 打_v2 電話_n 給_p 小亮_人3,小方打電話給誰?,
B1 L8,小方_人2 打_v2 電話_n 給_p 小亮_人3,誰打電話給小亮?,
B1 L8,小方_人1 說_v1 ：_x 「_x 小亮_人2 ，_x 明天_時 是_v2 我_人3 生日_t ，_x 請_v 你_人4 來_v3 我家_地方 好_a 嗎_y ？_x 」_x ,小方請誰來他家?,
B1 L8,小亮_人1 說_v1 ：_x 「_x 好_a 啊_y ！_x 我_人2 會_v2 唱歌_v3 給_p 你_人3 聽_v4 。_x 」_x ,小亮會做什麼事?,
B1 L8,小亮_人1 說_v1 ：_x 「_x 我_人2 明天_時 再_d 告訴_v2 你_人3 。_x 」_x ,小亮說什麼時候告訴你?,
B1 L9,小方_人1 在_p 學校_地方 裡_f ，_x 學會_v1 了_ul 很多_m 詞語_物1,小方在哪裡學會詞語?,
B1 L9,小方_人1 在_p 學校_地方 裡_f ，_x 學會_v1 了_ul 很多_m 詞語_物1,小方在學校學會什麼?,
B1 L9,他_人1 聽到_v1 媽媽_人2 說_v2 ：_x 「_x 我_人3 買_v3 了_ul 一件_m 新_a 衣服_物1 ，_x 很_d 滿意_v4 。_x 」_x,媽媽說買了一件什麼很滿意?,
B1 L9,他_人1 聽到_v1 媽媽_人2 說_v2 ：_x 「_x 我_人3 買_v3 了_ul 一件_m 新_a 衣服_物1 ，_x 很_d 滿意_v4 。_x 」_x,誰買了一件新衣服?,
B1 L9,他_人1 聽到_v1 爸爸_人2 說_zg ：_x 「_x 我_人3 做_v2 完_v3 一件_m 事_n ，_x 很_zg 得意_v4 。_x 」_x,爸爸說做完什麼很得意?,
B1 L9,他_人1 聽到_v1 哥哥_人2 說_zg ：_x 「_x 我_人3 跟_p 校長_人4 一起_m 照相_v2 ，_x 很_d 神氣_a 。_x 」_x,哥哥跟誰一起拍照?,
B1 L9,他_人1 聽到_v1 哥哥_人2 說_zg ：_x 「_x 我_人3 跟_p 校長_人4 一起_m 照相_v2 ，_x 很_d 神氣_a 。_x 」_x,哥哥說跟校長一起做什麼很神氣?,
B1 L9,看來_v1 ，_x 全家人_人 都_d 很_d 開心_a ！_x,全家人都很?,
B1 L10,我_人1 做_v 一條_m 船_物1 ，_x 送給_v 姐姐_人2 坐_v ，_x 姐姐_人2 要_v 去_v 看_v 外婆_人3 。_x ,我做一條船給誰去看外婆?,
B1 L10,我_人1 做_v 一條_m 船_物1 ，_x 送給_v 姐姐_人2 坐_v ，_x 姐姐_人2 要_v 去_v 看_v 外婆_人3 。_x ,姊姊坐船去看誰?,
B1 L10,我_人1 做_v 一條_m 船_物1 ，_x 送給_v 哥哥_人4 坐_v ，_x 哥哥_人4 出海_v 去_v 打_v 魚_n,我做一條船給誰去打魚?,
B1 L10,我_人1 做_v 一條_m 船_物1 ，_x 送給_v 哥哥_人4 坐_v ，_x 哥哥_人4 出海_v 去_v 打_v 魚_n,哥哥坐船去做什麼事?,
B1 L10,我_人1 做_v 一條_m 船_物1 ，_x 送給_v 弟弟_人5 坐_v ，_x 弟弟_人5 ，_x 弟弟_人5 ！_x 你_人5 要_v 到_v 哪裡_r ？_x ,弟弟坐船要到哪裡?,
