原文斷詞,原文出題
小方喜歡上學,誰喜歡上學?
小方喜歡老師,誰喜歡老師?
老師也喜歡小方,老師喜歡誰?
妹妹學數數兒,妹妹學什麼?
我喜歡大象,我喜歡什麼?
夏天的晚上,什麼天的晚上?
他說松樹不怕風雨，活得長,松樹不怕什麼?
媽媽說：「你們種樹，我來澆水,媽媽來做什麼?
星期天的下午,哪天的下午?
弟弟看了說：「大象真像個大畫家。」,大象像什麼?
野草地小花多,草地上什麼多?
小河彎彎在前頭,什麼在前頭?
藍色是指國王,什麼顏色指國王?
有一天，小方問老師：「古時候沒有時鐘，他們怎麼知道時間呢？」,古時候沒有什麼?
小橘子先是綠色的,橘子先是什麼顏色?
他們一起玩遊戲,他們一起做什麼?
今天是晴天,今天是什麼天?
今天是晴天,哪天是晴天?
野草地小花多,草地上什麼多?
叔叔說：「這是一本字典,這是什麼?
夏天的晚上,夏天的什麼時候?
秋天到了,到了什麼時候?
媽媽教小方寫字,媽媽教誰寫字?
小方打電話給小亮,小方打電話給誰?
小方打電話給小亮,誰打電話給小亮?
小方說：「小亮，明天是我生日，請你來我家好嗎？」,小方請誰來他家?
他聽到哥哥說：「我跟校長一起照相，很神氣。」,哥哥跟誰一起拍照?
小方在學校裡,誰在學校裡?
我在動物園門口,誰在動物園門口?
小鵝跟在後頭走,誰跟在後頭走?
我有一個洋娃娃,誰有一個洋娃娃?
親愛的媽媽：您教我們讀書，教我們寫字，我們非常感謝您,誰教我們讀書?
小蟲寫信給螞蟻,誰寫信給螞蟻?
我走在前面，你跟在我後面,誰走在前面?
我走在前面，你跟在我後面,誰走在後面?
我又問母親,誰又問母親?
貝爾出生在英國,誰出生在英國
後來找到了李冰,後來找到了誰
我在院子裡拍皮球,我在院子做什麼?
畫家送他一張白紙,畫家送他什麼?
泰國有很多大象,泰國有很多什麼?
我看到大象有一條長長的鼻子,大象有長長的什麼?
天空出現了一道彩虹,天空出現了什麼?
我種了山茶花,我種了什麼?
大象用鼻子拿起彩色筆畫圖,大象用彩色筆做什麼?
他聽到媽媽說：「我買了一件新衣服，很滿意。」,媽媽買了什麼?
有一隻小烏鴉找到一塊肉,小烏鴉找到甚麼
金色陽光照著大地,什麼顏色陽光照大地?
畫裡有山，有河，還有房子,畫裡面有什麼?
戲弄綠波真快樂,戲弄什麼真快樂?
我有一個洋娃娃,我有一個什麼?
好像我的小妹妹,好像我的什麼?
有一隻小蜘蛛，在樹上結了一面網,蜘蛛在樹上做什麼?
蜘蛛網抓住了蚊子的腳,什麼抓住了蚊子?
母親節快到了,什麼節日快到了?
長針走得快,什麼走得快?
短針走得慢,什麼走得慢?
所以時間也叫「光陰」,時間也叫什麼?
身上穿著白衣裳,身上穿著什麼?
外婆家還有一個茶園,外婆家外有什麼?
沒有人穿短褲,沒有人穿什麼?
爸爸和小叔叔拿著剪刀修剪花木,拿著剪刀要做什麼?
他受不了沒天沒地的情形,他受不了什麼情形?
升起一個圓圓的火球,升起一個圓圓的什麼
兩根針，有長短,有幾根針?
下巴長出一些小鬍子,下巴長出什麼?
巧妙的雙手會做事,巧妙的手會做什麼?
他們以前是軍人,他們以前是什麼?
現在他們種果樹、種茶葉,現在他們種什麼?
他說查字典的方法很多，可以找「部首」，可以查「注音」，還可以算字的筆畫數,查字典有什麼方法?
農村風光，美麗得像一幅圖畫,農村風光像什麼?
天天努力忙耕種,天天努力忙什麼?
樹上有個窩,樹上有個什麼?
才一眨眼，太陽就升得好高,什麼升的好高?
冬天的太陽，照在小花貓的身上,什麼時候太陽照在花貓上?
時鐘走不停，日夜不休息,什麼東西走不停?
只帶了缽和木杖,只帶了什麼東西和木杖
帶來深山裡的氣息,帶來深山的什麼東西
明天是小方的生日,明天是誰的生日?
我做一條船，送給姐姐坐，姐姐要去看外婆。,姊姊坐船去看誰?
我種了山茶花,誰種了山茶花?
有的大象跟著音樂跳舞,誰跟著音樂跳舞?
我們的國旗有三種顏色,國旗有幾種顏色?
我和表姐、堂弟坐在墓前,誰坐在墓前?
他跑步像飛的一樣,誰跑步像飛一樣?
便派他去治水,便派誰去治水
當地的老百姓非常感激李冰,當地的老百姓非常感謝誰
小方回頭問爸爸：「什麼叫眼花？它是一種花嗎？」,他問誰什麼叫眼花?
獅大王，請不要吃我,獅大王不要吃誰?
