RID,原文斷詞,原文出題,原文答案,原文規則,原文出題規則,原文出題答案
0,我_人1 起來_v1 了_y1,誰起來了?,我,人1 + v1 + y1,誰 + v1 + y1,人1
1,太陽_人1 也_d1 起來_v1 了_y1,誰也起來了?,太陽,人1 + d1 + v1 + y1,誰 + d1 + v1 + y1,人1
2,太陽_人1 也_d1 天天_q1 早起_v1,誰也天天早起?,太陽,人1 + d1 + q1 + v1,誰 + d1 + q1 + v1,人1
3,小方_人1 喜歡_v1 上學_v2,誰喜歡上學?,小方,人1 + v1 + v2,誰 + v1 + v2,人1
4,小方_人1 喜歡_v1 老師_物1,誰喜歡老師?,小方,人1 + v1 + 物1,誰 + v1 + 物1,人1
5,老師_人1 也_d1 喜歡_v1 小方_人2,誰喜歡小方?,老師,人1 + d1 + v1 + 人2,誰 + v1 + 人2,人1
6,老師_人1 也_d1 喜歡_v1 小方_人2,老師喜歡誰?,小方,人1 + d1 + v1 + 人2,人1 + v1 + 誰,人2
7,同學_人1 也_d1 喜歡_v1 小方_人2,同學喜歡誰?,小方,人1 + d1 + v1 + 人2,人1 + v1 + 誰,人2
8,我_人1 的_u1 書包_物1 裡_f1 ，_w1 有_vyou1 書_物2 也_d1 有_vyou2 筆_物3,我的書包裡有什麼?,書,人1 + u1 + 物1 + f1 + w1 + vyou1 + 物2 + d1 + vyou2 + 物3,人1 + u1 + 物1 + f1 + vyou1 + 什麼,物2
9,還有_v1 一個_m1 小_a1 皮球_物1 ，_w1 也_d1 在_p1 我_人1 的_u1 書包_物2 裡_f1,什麼也在我的書包裡?,皮球,v1 + m1 + a1 + 物1 + w1 + d1 + p1 + 人1 + u1 + 物2 + f1,什麼 + d1 + p1 + 人1 + u1 + 物2 + f1,物1
10,媽媽_人1 教_v1 小方_人2 寫字_v2,誰教小方寫字?,媽媽,人1 + v1 + 人2 + v2,誰 + v1 + 人2 + v2,人1
11,媽媽_人1 教_v1 小方_人2 寫字_v2,媽媽教誰寫字?,小方,人1 + v1 + 人2 + v2,人1 + v1 + 誰 + v2,人2
12,媽媽_人1 說_v1 ：_w1 寫字_v2 要_v3 用心_a1,誰說寫字要用心?,媽媽,人1 + v1 + w1 + v2 + v3 + a1,誰 + v1 + v2 + v3 + a1,人1
13,大樹_物1 高_a1,什麼很高?,大樹,物1 + a1,什麼 + a1,物1
14,花兒_物1 美_a1,什麼很美?,花兒,物1 + a1,什麼 + a1,物1
15,樹_物1 很_d1 高_a1 ，_w1 我們_人1 不要_d2 爬_v1 上去_v2,什麼很高不要爬上去?,樹,物1 + d1 + a1 + w1 + 人1 + d2 + v1 + v2,什麼 + d1 + a1 + d2 + v1 + v2,物1
16,花_物1 很_d1 美_a1 ，_w1 我們_人1 不要_d2 摘_v1 下來_v2,什麼很美不要摘下來?,花,物1 + d1 + a1 + w1 + 人1 + d2 + v1 + v2,什麼 + d1 + a1 + d2 + v1 + v2,物1
17,草地_物1 很_d1 漂亮_a1 ，_w1 我們_人1 不要_d2 去_v1 踩_v2 它_r1,什麼很漂亮不要去採它?,草地,物1 + d1 + a1 + w1 + 人1 + d2 + v1 + v2 + r1,什麼 + d1 + a1 + d2 + v1 + r1,物1
18,小鳥_人1 小鳥_物1 愛_v1 唱歌_v2,誰愛唱歌?,小鳥,人1 + 物1 + v1 + v2,誰 + v1 + v2,人1
,,,,,,
20,爸爸_人1 說_v1 ，_w1 他_人2 小時候_t1 上學_v2 ，_w2 看見_v3 老師_物1 ，_w3 會_v4 向_p1 老師_物2 行禮_v5,爸爸小時候上學看見誰會行禮?,他,人1 + v1 + w1 + 人2 + t1 + v2 + w2 + v3 + 物1 + w3 + v4 + p1 + 物2 + v5,人1 + t1 + v2 + v3 + 誰 + v4 + v5,人2
21,明天_時1 是_vshi1 小方_人1 的_u1 生日_物1,明天是誰的生日?,小方,時1 + vshi1 + 人1 + u1 + 物1,時1 + vshi1 + 誰 + u1 + 物1,人1
22,明天_時1 是_vshi1 小方_人1 的_u1 生日_物1,小方的生日是什麼時候?,明天,時1 + vshi1 + 人1 + u1 + 物1,人1 + u1 + 物1 + vshi1 + 什麼時候,時1
